REF;DESCRICAO;SEMANA;TECIDO;COLECAO;FAMILIA;PROGRAMACAO;CORES
01602;CROPPED FESTIVAL;SEMANA;;VERÃO 2020;;;5
01683;TOP FOLHAGEM NUDE;SEMANA;;VERÃO 2020;;;1
03667;CAMISA CEU;SEMANA 06;LAISE MAUI;ALTO VERÃO 2023;;FC - AV23 SEM06 - 06/02;4
04530;BLAZER VENICE DETALHE ACETINADO;CANCELADO;PATOU CHINA AT2302;INVERNO 2024;VENICE;;4
05834;BLUSA PEPLUM OFICINA;SEMANA 27;SARJA COLOR  RW13587;VERÃO 2026;OFICINA;FC - VER26 SEM 27 - 01/07;3
06281;BLUSA CAFFEINE;SEMANA 05;MAQUINETADO LISBOA EST CAFFEINE;INVERNO 2026;CAFFEINE;FC - INV26 SEM 05 - 26/01;1
01346;VESTIDO LONGO CAJU;SEMANA;;VERÃO 2019;;;1
04160;VESTIDO LONGO MONTE;SEMANA;;OUTONO/INVERNO 2016;;;0
05725;BLUSA LAISE SELENITA;SEMANA 16;ALGODAO BORDADO SELENITA;INVERNO 2025;SELENITA;FC - INV25 SEM 16 - 14/04;2
06121;CHAVEIRO LENCINHO GALERIA;SEMANA 39;ESTAMPA CHIFFON POA PW500121-1;VERÃO 2026;GALERIA;FC - VER26 SEM 38 - 15/09;1
06383;VESTIDO CROPPED BORDADO FREDDO;SEMANA 19;VISCOSE FLASH AT 2232;INVERNO 2026;FREDDO;FC - INV26 SEM 19 - 04/05;3
00797;MACACAO MIDI NIGHT;SEMANA;;VERÃO 2018;;;1
02157;VESTIDO CURTO CONTEMPORANY;SEMANA;;VERÃO 2021;;;1
02244;CROPPED ATEMPORAL;SEMANA;;OFF;;;6
04094;SHORT DETALHE COS;CANCELADO;;VERÃO 2024;DREAM;;3
05430;BLAZER OVER FAMILIA 11;CANCELADO;ALFAIATARIA MARRANT NEW (AT2286);INVERNO 2025;;;3
01384;MACACAO ETNICO;SEMANA;;INVERNO 2019;;;2
02303;CAMISA SENSE;SEMANA;;INVERNO 2021;;;2
02341;BLUSA CREATIVE;SEMANA;;OFF;;;1
00302;VESTIDO MUSGO PRETO;SEMANA;;OUTONO/INVERNO 2016;;;1
04442;CALCA SAUER PALA AMARRACAO;CANCELADO;PATOU CHINA AT2302;ALTO VERÃO 2024;SAUER;;3
04808;CROPPED GLOSS CORRENTES;CANCELADO;TAG PAPEL C/ ILHOES LIZIE;VERÃO 2025;GLOSS;;1
05875;CALCA SLIM CULTURAL;CANCELADO;ALFAIATARIA SOHO (RW54958);VERÃO 2026;CULTURAL;;3
06274;VESTIDO CROPPED LISTRAS MACCHIATO;SEMANA 10;MARRANT EST MACCHIATO BPW850512-01;INVERNO 2026;MACCHIATO;FC - INV26 SEM 10 - 02/03;1
00628;BLUSA MANGA SEDA PETROLEO;SEMANA;;OUTONO/INVERNO 2017;;;1
01010;TSHIRT CANELADA;SEMANA;;INVERNO 2018;;;1
02733;MACACAO LG LA VIE;SEMANA;;VERÃO 2022;;;1
03929;PANTALONA MOOVE;SEMANA 30;MARANT CHINA;INVERNO 2023;;FC - INV23 SEM 30- 24/07 ;4
04412;VESTIDO LONGO SAUER DECOTE COSTAS;CANCELADO;TAG PAPEL COLLECTION;ALTO VERÃO 2024;SAUER;;3
04502;SHORT SAIA PEACH RECORTES;SEMANA 28;MARRANT PEACH (AT2376);VERÃO 2025;PEACH;;3
04592;CALCA PETALA CENOURA;SEMANA 28;PATOU NEW (RW82311);VERÃO 2025;PETALA;FC - INV24 SEM22 - 27/05;9
00359;PANTALONA FOLHAGEM;SEMANA;;PRIMAVERA/VERÃO 2016;;;1
00851;BODY COSTAS QUADRADA;SEMANA;;VERÃO 2018;;;1
02530;CALCA SOFT;SEMANA;;INVERNO 2021;;;3
02672;MACAQUINHO SWEETY;SEMANA;;OFF;SWEETY;;1
04083;TRICOT DIV 7000;BAZAR;;BAZAR 2023;;;1
04300;VESTIDO MIDI ALEGRIA DECOTE;CANCELADO;TARSILA ECOIMA;VERÃO 2024;ALEGRIA;;3
05580;BLUSA DUPLA FLORA;SEMANA 41;PATOU NEW (RW82311);VERÃO 2025;FLORA;FC - VER25 SEM 48 - 25/11;9
05893;SHORT MOVIMENTO DETALHE PREGAS;CANCELADO;JALAPAO EST MOVIMENTO (CHOICE 22);VERÃO 2026;MOVIMENTO;;1
05976;VESTIDO CURTO NEW GLOW;SEMANA 18;GGT EST GLOW;INVERNO 2025;NEW GLOW;FC - INV25 SEM 18 - 28/04;1
06151;BLAZER WORK BASIC 2;SEMANA;ALFAIATARIA MARRANT NEW (AT2286);CONTINUO;WORK;;1
01263;JARDINEIRA LINHO;SEMANA;;VERÃO 2019;;;1
03389;CHEMISE CONFORTO;SEMANA 44;EST CONFORTO BASE BROMELIA;VERÃO 2023;CONFORTO;FC - VER23 SEM 44 - 03/11;1
03912;VESTIDO LONGO OASIS;SEMANA 20;VISCOSE SARJADA SINERGY;INVERNO 2023;;FC - INV23 SEM22 - 29/05;2
